日期,股票代码,名称,收盘价,44,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,力量,磁,
2019/12/17,'000922,佳电股份,7.79,7.79,7.86,7.55,7.57,7.57,0.22,2.9062,8567691,8567691,7.79,8567691
2019/12/16,'000922,佳电股份,7.57,7.57,7.59,7.32,7.38,7.32,0.25,3.4153,7785212,7785212,7.57,7785212
2019/12/13,'000922,佳电股份,7.32,7.32,7.32,7.21,7.23,7.21,0.11,1.5257,4236200,4236200,7.32,4236200
2019/12/12,'000922,佳电股份,7.21,-7.21,7.27,7.2,7.22,7.23,-0.02,-0.2766,2992961,-2992961,-7.21,-2992961
2019/12/11,'000922,佳电股份,7.23,-7.23,7.29,7.21,7.27,7.29,-0.06,-0.823,2968176,-2968176,-7.23,-2968176
2019/12/10,'000922,佳电股份,7.29,7.29,7.3,7.2,7.25,7.26,0.03,0.4132,3356248,3356248,7.29,3356248
2019/12/9,'000922,佳电股份,7.26,-7.26,7.32,7.24,7.25,7.3,-0.04,-0.5479,3637695,-3637695,-7.26,3637695
2019/12/6,'000922,佳电股份,7.3,7.3,7.5,7.24,7.29,7.16,0.14,1.9553,6507967,6507967,7.3,6507967
2019/12/5,'000922,佳电股份,7.16,7.16,7.22,7.13,7.15,7.11,0.05,0.7032,2257049,2257049,7.16,2257049
2019/12/4,'000922,佳电股份,7.11,-7.11,7.14,7.06,7.1,7.14,-0.03,-0.4202,1870648,-1870648,-7.11,1870648
2019/12/3,'000922,佳电股份,7.14,7.14,7.14,6.95,6.96,7.01,0.13,1.8545,2708297,2708297,7.14,2708297
2019/12/2,'000922,佳电股份,7.01,-7.01,7.1,6.99,7.05,7.03,-0.02,-0.2845,2155520,-2155520,-7.01,-2155520
2019/11/29,'000922,佳电股份,7.03,7.03,7.06,6.98,7.02,7.02,0.01,0.1425,2535583,2535583,7.03,2535583
2019/11/28,'000922,佳电股份,7.02,-7.02,7.16,7.02,7.16,7.17,-0.15,-2.0921,3123227,-3123227,-7.02,-3123227
2019/11/27,'000922,佳电股份,7.17,-7.17,7.21,7.11,7.21,7.23,-0.06,-0.8299,2636892,-2636892,-7.17,-2636892
2019/11/26,'000922,佳电股份,7.23,-7.23,7.39,7.18,7.39,7.38,-0.15,-2.0325,4285611,-4285611,-7.23,-4285611
2019/11/25,'000922,佳电股份,7.38,7.38,7.39,7.1,7.17,7.17,0.21,2.9289,7119161,7119161,7.38,7119161
2019/11/22,'000922,佳电股份,7.17,7.17,7.19,7.08,7.09,7.09,0.08,1.1283,4341422,4341422,7.17,4341422
2019/11/21,'000922,佳电股份,7.09,7.09,7.11,7.01,7.05,7.06,0.03,0.4249,1892901,1892901,7.09,1892901
